iter	Passed	Remaining
410	6865	9839
411	6886	9828
412	6905	9815
413	6933	9814
414	6957	9807
415	6981	9800
416	6998	9784
417	7017	9770
418	7032	9751
419	7056	9744
420	7076	9732
421	7092	9713
422	7109	9697
423	7129	9685
424	7144	9665
425	7156	9642
426	7171	9624
427	7182	9598
428	7200	9584
429	7221	9572
430	7232	9547
431	7249	9531
432	7267	9516
433	7283	9499
434	7299	9481
435	7319	9468
436	7336	9452
437	7349	9430
438	7371	9419
439	7386	9401
440	7403	9384
441	7414	9360
442	7431	9344
443	7449	9328
444	7465	9311
445	7478	9289
446	7493	9269
447	7511	9255
448	7528	9238
449	7544	9220
450	7556	9198
451	7570	9178
452	7582	9156
453	7596	9136
454	7609	9114
455	7622	9093
456	7640	9078
457	7660	9065
458	7678	9049
459	7691	9028
460	7714	9019
461	7731	9003
462	7752	8991
463	7770	8976
464	7787	8960
465	7806	8946
466	7822	8927
467	7835	8907
468	7852	8890
469	7869	8874
470	7882	8852
471	7895	8832
472	7916	8819
473	7932	8803
474	7947	8784
475	7963	8766
476	7981	8751
477	8000	8736
478	8016	8719
479	8040	8710
480	8055	8692
481	8073	8676
482	8089	8658
483	8109	8645
484	8126	8629
485	8147	8616
486	8156	8592
487	8179	8582
488	8197	8566
489	8212	8547
490	8224	8526
491	8237	8505
492	8254	8488
493	8268	8469
494	8285	8453
495	8306	8440
496	8322	8422
497	8346	8413
498	8365	8398
499	8375	8375
500	8388	8354
501	8397	8330
502	8415	8315
503	8430	8296
504	8446	8279
505	8458	8258
506	8477	8243
507	8495	8227
508	8509	8208
509	8528	8193
510	8541	8173
511	8560	8159
512	8579	8144
513	8595	8127
514	8615	8113
515	8630	8095
516	8655	8086
517	8670	8067
518	8685	8049
519	8698	8029
520	8716	8014
521	8729	7993
522	8750	7981
523	8767	7963
524	8782	7946
525	8803	7932
526	8821	7917
527	8842	7904
528	8858	7887
529	8872	7868
530	8892	7854
531	8906	7835
532	8915	7811
533	8929	7792
534	8944	7773
535	8966	7762
536	8985	7747
537	9005	7733
538	9025	7719
539	9036	7697
540	9059	7686
541	9073	7667
542	9093	7653
543	9114	7639
544	9132	7624
545	9152	7610
546	9166	7591
547	9176	7569
548	9192	7551
549	9213	7538
550	9234	7525
551	9250	7507
552	9266	7490
553	9280	7471
554	9302	7458
555	9318	7441
556	9336	7425
557	9349	7405
558	9362	7386
559	9380	7370
560	9396	7353
561	9419	7340
562	9434	7323
563	9455	7309
564	9470	7291
565	9488	7275
566	9512	7264
567	9528	7247
568	9542	7228
569	9559	7211
570	9578	7196
571	9597	7181
572	9613	7163
573	9630	7147
574	9650	7132
575	9662	7112
576	9680	7096
577	9700	7082
578	9713	7063
579	9731	7046
580	9755	7035
581	9771	7017
582	9785	6998
583	9797	6978
584	9811	6960
585	9827	6943
586	9843	6925
587	9863	6910
588	9887	6899
589	9901	6880
590	9914	6861
591	9927	6841
592	9941	6823
593	9957	6806
