iter	Logloss
0	0.6920053996
1	0.6909130213
2	0.6898207765
3	0.6888190666
4	0.6878219299
5	0.6869892808
6	0.6860770975
7	0.6852788812
8	0.6845129769
9	0.6838206677
10	0.6831013098
11	0.6823841724
12	0.6816768277
13	0.680985198
14	0.6803906042
15	0.6797815745
16	0.6791841352
17	0.6786875394
18	0.6782010252
19	0.6777032229
20	0.6773109808
21	0.6768523629
22	0.6764695778
23	0.6760185684
24	0.6755695284
25	0.675240494
26	0.6749280505
27	0.6746718528
28	0.6743733048
29	0.6740328482
30	0.6738107582
31	0.6735792119
32	0.6733148929
33	0.6730105957
34	0.672686093
35	0.6723494519
36	0.6721425771
37	0.6718969793
38	0.6716214811
39	0.6713818032
40	0.6712194628
41	0.6710669526
42	0.67082542
43	0.6706531745
44	0.670477327
45	0.6702996871
46	0.6701387352
47	0.6699703215
48	0.6697973295
49	0.6697176551
50	0.6694844148
51	0.6692759448
52	0.6690522724
53	0.668895419
54	0.6686850195
55	0.6684108464
56	0.6683410541
57	0.66817974
58	0.6680170848
59	0.6678001849
60	0.6677172118
61	0.6675679204
62	0.6674124328
63	0.6673155828
64	0.6672082422
65	0.6671024423
66	0.6670399757
67	0.6669839222
68	0.6668404324
69	0.6667360115
70	0.6666583261
71	0.6665685562
72	0.6664271874
73	0.6663292609
74	0.6661918694
75	0.6660594178
76	0.6658786857
77	0.6657422642
78	0.6656437113
79	0.6655261418
80	0.6654617905
81	0.6653134613
82	0.6651256177
83	0.6650097956
84	0.6649153989
85	0.6647387899
86	0.6646619447
87	0.6646151614
88	0.6644778262
89	0.6644629419
90	0.6643653729
91	0.6643013842
92	0.6641599242
93	0.6640105721
94	0.6638878052
95	0.6637016342
96	0.6635832289
97	0.6634813905
98	0.6633771401
99	0.6632786704
100	0.6631688618
101	0.6630627524
102	0.6629860135
103	0.6629148652
104	0.6627826306
105	0.6626842136
106	0.6626194281
107	0.6624858814
108	0.6624060268
109	0.662295506
110	0.6622380882
111	0.6621432712
112	0.6620164791
113	0.6618737665
114	0.6617974855
115	0.6617303189
116	0.6616687607
117	0.6615368217
118	0.6614624103
119	0.6613521137
120	0.6612524991
121	0.6611798975
122	0.6610923198
123	0.6609437116
124	0.6608352629
125	0.660760298
126	0.6607553547
127	0.66062128	0128	0.660502129	0129	0.6604130	0.6130	0.6603131	0.6131	0.6602132	0.6132	0.6601133	0.6133	0.6600134	0.6134	0.6600135	0.6135	0.659136	0.65136	0.659137	0.6137	0.6597496656
138	0.6596810636
139	0.6596080386
140	0.6595019545
141	0.6594451145
142	0.6593264951
143	0.659144	0.65144	0.659196662
145	0.6591146	0.6146	0.6590147	0.6147	0.6589148	0.6148	0.6588149	0.6149	0.658150	0.65150	0.658151	0.65151	0.6584399471
152	0.6583905126
153	0.6583474377
154	0.6582524475
155	0.6581503937
156	0.658080877
157	0.6580203197
158	0.6580122792
159	0.6579586907
160	0.6578713941
161	0.65775566
162	0.657635216
163	0.657608318
164	0.6574898539
165	0.6573962044
166	0.6572978274
167	0.6572366249
168	0.6571574622
169	0.6570359787
170	0.6569440021
171	0.6568087406
172	0.6567667862
173	0.6566307591
174	0.6565676639
175	0.6565305614
176	0.6564517192
177	0.65178	0.656178	0.65179	0.656179	0.65180	0.656180	0.6181	0.6562181	0.6182	0.6561182	0.6183	0.6561183	0.6184	0.6560184	0.6558164697
185	0.6557681936
186	0.6557307411
187	0.6556644474
188	0.6556206601
189	0.6555278691
190	0.6554737959
191	0.6554250051
192	0.6554221286
193	0194	0.65522194	0.195	0.65517195	0.196	0.65508196	0.197	0.65504197	0.198	0.65497198	0199	0.65487199	0.200	0.65481200	0.6548464834
201	0.6547157497
202	0.6546965561
203	0.6546230191
204	0.6545500764
205	0.6544942472
206	0.6544054291
207	0.6543148482
208	0.6541455517
209	0.6541362794
210	0.6540369641
211	0.6539586828
212	0.6539207025
213	0.6538398452
214	0.6537489949
215	0.6536743565
216	0.6536289034
217	0.6535489728
218	0.6535059155
219	0.6533675891
220	0.653342375
221	0.6532483843
222	0.653210533
223	0.6531716766
224	0.6530821805
225	0.652995177
226	0.652937113
227	0.6529092292
228	0.6528576958
229	0.6527577099
230	0.6526358234
231	0.6525243312
232	0.6524292227
233	0.6523296694
234	0.6522631728
235	0.6522459088
236	0.6521976854
237	0.6521755476
238	0.6521022463
239	0.6520387754
240	0.6520087349
241	0.651891159
242	0.243	0.65160243	0.244	0.6515014671
245	0.651408273
246	0.651331726
247	0.6512675354
248	0.6512096317
249	0.65120249	0250	0.6511833741
251	0.65110251	0.252	0.65103252	0.253	0.65095253	0.254	0.65090254	0.255	0.65087255	0256	0.65078256	0257	0.650761257	0258	0.6507152473
259	0.650617259	0260	0.650519260	0261	0.650464261	0262	0.650427262	0263	0.650354263	0264	0.650241264	0265	0.65017265	0.266	0.650266	0.65267	0.65267	0.650268	0.64268	0.649269	0.6269	0.649916768
270	0.6498902641
271	0.6498247133
272	0.649783459
273	0.6497797441
274	0.6496863619
275	0.6495911911
276	0.649515277	0277	0.64944278	0278	0.649416279	279	0.6494163280	280	0.6492733281	281	0.6491865282	0.6489729375
283	0.6488463053
284	0.6488143929
285	0.648791565
286	0.6486629133
287	0.6486618749
288	0.6485859706
289	0.6485039414
290	0.6484082229
291	0.6483503472
292292	0.64827056293293	0.64819788294294	0.6481122929295	0.64799681296296	0.64790578297297	0.64778829298298	0.64769665299299	0.64761124300300	0.64757524301301	0.64744826302302	0.64737471303303	0.64733853304304	0.64725331305305	0.64712757306306	0.64704172307307	0.64700063308	0.6471152098
309	0.6470579342
310	0.6470282004
311	0.6469497974
312	0.64690303
313	313	0.646729314	0314	0.646666315	0315	0.646589316	0316	0.6465317	0.6317	0.6464318	0.6465252093
319	0.6464537525
320	0.6464187017
321	0.6463450918
322	0.6461944538
323	0.6461568056
324	0.6460934275
325	0.6460136531
326	0.6459207896
327	0.6458873165
328	0.6458458889
329	0.6457306846
330	0.6456896577
331	0.6455494445
332	0.645484382
333	0.6454162269
334	0.6453640731
335	0.6452973621
336	0.6451778749
337	0.6450446068
338	0.644937772
339	0.6447965123
340	0.644720819
341	0.6446461584
342	0.6445510878
343	0.6444792782
344	0.6444450149
345	0.6443698718
346	0.644331359
347	0.6441974725
348	0.6440823361
349	0.6440354739
350	0.6439327335
351	0.6438477596
352	0.6437530226
353	0.643692169
354	0.6436258543
355	0.6435451094
356	0.6434270405
357	0.6433063659
358	0.6432105832
359	0.6431320945
360	0.643065271
361	0.6429994488
362	0.6429547601
363	0.6428844185
364	0.6427956859
365	0.6426895147
366	0.6426318794
367	0.6425946284
368	0.6424753802
369	0.6423866267
370	0.6422846562
371	0.6422142283
372	0.6421296679
373	0.6420404547
374	0.6419427146
375	0.6418043053
376	0.6417746265
377	0.6416669095
378	0.6415124178
379	0.6414451086
380	0.6413379962
381	0.641286589
382	0.6411960839
383	0.6411297245
384	0.6410568875
385	0.640971092
386	0.6408728798
387	0.6407487981
388	0.6406611981
389	0.6405749198
390	0.6405274585
391	0.640454046
392	0.6403475908
393	0.6402522822
394	0.6401714148
395	0.6400691383
396	0.6400115573
397	0.6399237353
398	0.6398430161
399	0.6397649556
400	0.6396736149
401	0.639572366
402	0.63948469
403	0.6393907484
404	0.6393096472
405	0.6392515677
406	0.6392134789
407	0.6391696174
408	0.6390888462
409	0.6390341582
410	0.6389424444
411	0.6388848679
412	0.6388039655
413	0.6387153231
414	0.6386558285
415	0.6385477123
416	0.6384704139
417	0.6384058339
418	0.6383303133
419	0.6382568703
420	0.6382004262
421	0.6381287136
422	0.638025428
423	0.6378910494
424	0.6377822112
425	0.6376872714
426	0.637607876
427	0.6375105786
428	0.6374421856
429	0.6373896317
430	0.6372961171
431	0.6372474384
432	0.6371498766
433	0.6370889448
434	0.6369902584
435	0.6369267762
436	0.6368057336
437	0.6367318042
438	0.6366393069
439	0.6365341827
440	0.6364038571
441	0.6363625144
442	0.6362645301
443	0.6362429287
444	0.6361558988
445	0.6360506916
446	0.6360105258
447	0.635903236
448	0.635772884
449	0.6357112459
450	0.6356840485
451	0.6356194239
452	0.6355091859
453	0.6353905942
454	0.6353435372
455	0.6352970791
456	0.6351894324
457	0.6350857986
458	0.6350079353
459	0.6349546299
460	0.6348560417
461	0.6347515742
462	0.6346697596
463	0.6346059426
464	0.6345176738
465	0.6344856389
466	0.6344051174
467	0.6343056887
468	0.6342213183
469	0.6341295364
470	0.6340664797
471	0.6340350838
472	0.6339659687
473	0.6338930603
474	0.6338068918
475	0.6337141091
476	0.6336391078
477	0.633557929
478	0.6334896528
479	0.6333784987
480	0.6332970648
481	0.6332410548
482	0.6331853292
483	0.6331043301
484	0.6330006235
485	0.6329288566
486	0.6328037659
487	0.6326903348
488	0.6326390284
489	0.6325485539
490	0.6324881858
491	0.6324346562
492	0.632347955
493	0.6322777515
494	0.6322227433
495	0.6321496978
496	0.6320921741
497	0.6320023829
498	0.6319313252
499	0.6318450233
500	0.6317574909
501	0.6316614427
502	0.6315562652
503	0.6314677014
504	0.6313953986
505	0.6313094143
506	0.6312667112
507	0.631131743
508	0.6310641385
